Timestamp,Age,Gender,City,Position ,Total years of experience,Years of experience in Germany,Seniority level,Technical language,Other Technical language, Yearly brutto salary   ,  Bonus+Stocks , Annual brutto salary one year ago(Only answer if staying in the same country) ,  Bonus+Stocks one year ago(Only answer if staying in same country) ,Vacation Days,Employment status,Contract duration,Main language ,Company size,Company type,Lost Job
25/11/2020 17:00:00,32,Male,Berlin,Software Engineer,10,7,Lead,TypeScript,Javascript / Typescript,"€ 120,000.00", € -   ,"€ 90,000.00", € -   ,0,Self-employed (freelancer),Temporary contract,Deuglisch,1000+,Concern,Yes
25/11/2020 17:06:04,27,Female,Berlin,Data Analyst ,1,1,Middle,"Python, SQL","Python, SQL","€ 63,000.00", € -   ,"€ 42,000.00","€ 46,000.00",27,Full-time employee,Unlimited contract,English,1000+,Product,No
25/11/2020 17:09:19,31,Male,Paris,Mobile Developer,8,0,Senior,Swift,Swift,"€ 60,000.00","€ 6,000.00","€ 60,000.00","€ 6,000.00",30,Full-time employee,Unlimited contract,English,101-1000,Product,No
25/11/2020 17:11:50,28,Male,Cologne,Backend Developer,4,4,Middle,Java,Pl/sql,"€ 44,000.00","€ 6,000.00","€ 44,000.00","€ 6,000.00",30,Full-time employee,Unlimited contract,German,101-1000,Product,No
25/11/2020 17:20:37,27,Male,Berlin,Software Engineer,2,1,Lead,DWH,SQL,"€ 90,000.00","€ 7,000.00","€ 97,000.00","€ 87,000.00",31,Full-time employee,Unlimited contract,English,1000+,Product,No
25/11/2020 17:20:50,29,Male,Berlin,Frontend Developer,8,5,Head,JavaScript,"Kubernetes, Docker","€ 82,500.00", € -   ,"€ 65,000.00", € -   ,30,Full-time employee,Unlimited contract,English,1000+,Product,No
25/11/2020 17:45:05,32,Female,Munich,Data Engineer,10,2,Middle,Python,"Python, SQL, AWS, Docker, Spark, Airflow","€ 75,000.00", € -   ,"€ 70,000.00", € -   ,27,Full-time employee,Unlimited contract,English,11-50,Startup,Yes
25/11/2020 17:45:21,28,Male,Berlin,QA Engineer,5,1,Middle,QA,Python,"€ 60,000.00", € -   ,"€ 58,000.00", € -   ,30,Full-time employee,Unlimited contract,English,101-1000,Product,No
25/11/2020 17:48:02,38,Male,Dublin ,Mobile Developer,16,0,Senior,Swift,"Swift, Java / Scala","€ 85,000.00", € -   ,"€ 85,000.00","€ 85,000.00",24,Full-time employee,Unlimited contract,English,101-1000,Product,No
25/11/2020 17:48:12,29,Male,Berlin,Data Engineer,3,3,Middle,Azure,"Python, SQL, Azure","€ 54,000.00","€ 6,000.00","€ 45,000.00", € -   ,30,Full-time employee,Unlimited contract,German,1000+,Utilities,No
25/11/2020 17:49:56,30,Male,Stockholm,Backend Developer,7,2.5,Senior,C++,"Python, C/C++, Java / Scala, AWS, Kubernetes, Docker","€ 65,000.00","€ 9,000.00","€ 60,000.00","€ 9,000.00",33,Full-time employee,Unlimited contract,English,1000+,Product,No
25/11/2020 18:04:21,37,Male,Berlin,Mobile Developer,16,2,Senior,iOS,"Kotlin, C/C++, Swift, Ruby","€ 65,000.00", € -   ,"€ 55,000.00", € -   ,30,Full-time employee,Unlimited contract,English,101-1000,Product,No
25/11/2020 18:28:01,32,Male,Berlin,QA Engineer,10,3,Senior,js,"Java / Scala, Google Cloud, Docker","€ 81,000.00","€ 45,000.00","€ 81,000.00","€ 22,000.00",30,Full-time employee,Unlimited contract,English,1000+,Product,No
25/11/2020 18:31:48,34,Male,Munich,Software Engineer,12,8,Senior,Java,"Java / Scala, SQL, Go, Google Cloud, Kubernetes, Docker","€ 74,000.00", € -   ,"€ 69,000.00", € -   ,30,Full-time employee,Unlimited contract,English,101-1000,Product,No
25/11/2020 18:45:41,43,Male,Cologne,Backend Developer,10,7,Senior,Php,PHP,"€ 57,600.00","€ 8,000.00","€ 57,600.00","€ 55,000.00",26,Full-time employee,Unlimited contract,German,101-1000,Product,No
25/11/2020 18:51:20,28,Female,Munich,QA Engineer,8,4,Senior,Kotlin,"Kotlin, Java / Scala, AWS, Kubernetes, Docker","€ 75,000.00", € -   ,"€ 64,000.00","€ 6,000.00",30,Full-time employee,Unlimited contract,English,101-1000,Product,No
25/11/2020 18:56:02,51,Male,Berlin,Software Engineer,30,30,Senior,"VB, RPA, Python","Python, PHP, Javascript / Typescript, .NET, SQL, SAP / ABAP","€ 60,000.00","€ 5,000.00","€ 50,000.00","€ 5,000.00",30,Full-time employee,Unlimited contract,German,1000+,Consulting / Agency,No
25/11/2020 18:57:32,35,Male,Berlin,Software Engineer,8,5,Senior,Go,"Java / Scala, Go, AWS, Google Cloud, Azure, Kubernetes, Docker","€ 90,000.00","€ 100,000.00","€ 85,000.00","€ 50,000.00",30,Full-time employee,Unlimited contract,English,1000+,Product,No
25/11/2020 19:02:12,28,Male,Munich,Software Engineer,6,3,Middle,"C, C++","C/C++, Linux Kernel","€ 64,000.00","€ 9,000.00",,,30,Full-time employee,Unlimited contract,English,101-1000,Product,No
